## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT E_coli_K12.sorted.bam --OUTPUT E_coli_K12.sorted.markdup.bam --METRICS_FILE E_coli_K12.sorted.markdup_metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 11:27:21 CST 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	10435	71435	1692	1133201	3912	1420	0	0.044043	1772925

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.960509
3.0	2.883086
4.0	3.769229
5.0	4.620378
6.0	5.437913
7.0	6.223163
8.0	6.977403
9.0	7.701857
10.0	8.397701
11.0	9.066065
12.0	9.708035
13.0	10.324653
14.0	10.916919
15.0	11.485797
16.0	12.032209
17.0	12.557042
18.0	13.061149
19.0	13.545348
20.0	14.010425
21.0	14.457136
22.0	14.886206
23.0	15.298331
24.0	15.694181
25.0	16.074399
26.0	16.439601
27.0	16.790381
28.0	17.127308
29.0	17.450929
30.0	17.76177
31.0	18.060336
32.0	18.347111
33.0	18.622561
34.0	18.887133
35.0	19.141257
36.0	19.385345
37.0	19.619794
38.0	19.844984
39.0	20.061281
40.0	20.269036
41.0	20.468587
42.0	20.660257
43.0	20.844358
44.0	21.021188
45.0	21.191036
46.0	21.354176
47.0	21.510873
48.0	21.661382
49.0	21.805947
50.0	21.944803
51.0	22.078176
52.0	22.206281
53.0	22.329328
54.0	22.447515
55.0	22.561035
56.0	22.670072
57.0	22.774803
58.0	22.875398
59.0	22.97202
60.0	23.064826
61.0	23.153968
62.0	23.239589
63.0	23.321829
64.0	23.400821
65.0	23.476694
66.0	23.54957
67.0	23.619568
68.0	23.686802
69.0	23.751381
70.0	23.81341
71.0	23.872989
72.0	23.930215
73.0	23.985181
74.0	24.037977
75.0	24.088687
76.0	24.137395
77.0	24.18418
78.0	24.229117
79.0	24.272279
80.0	24.313737
81.0	24.353557
82.0	24.391805
83.0	24.428542
84.0	24.463829
85.0	24.497722
86.0	24.530277
87.0	24.561546
88.0	24.59158
89.0	24.620428
90.0	24.648137
91.0	24.674752
92.0	24.700315
93.0	24.724869
94.0	24.748454
95.0	24.771107
96.0	24.792865
97.0	24.813764
98.0	24.833838
99.0	24.853119
100.0	24.871639

